,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,logq
WBGene00000594,18530.6034577122,-1.16306001827666,0.0309318597588529,-37.6007141938429,0,0,col-3,Inf
WBGene00000601,25135.9389186858,-1.43480137098261,0.0263842376758424,-54.3810053794475,0,0,col-12,Inf
WBGene00000602,4559.52207875099,-1.44086048631132,0.037538900201836,-38.3831299948647,0,0,col-13,Inf
WBGene00000699,9011.21010239337,-1.40061109270733,0.032540531035717,-43.0420478132333,0,0,col-125,Inf
WBGene00000707,10191.6160034067,-1.43505241269857,0.0295206411884557,-48.6118307369203,0,0,col-133,Inf
WBGene00000717,7149.21274703549,-1.22715356609502,0.0304232380772161,-40.3360603161446,0,0,col-144,Inf
WBGene00000719,7599.87110107227,-1.44702887472561,0.0371183052032808,-38.9842388223508,0,0,col-146,Inf
WBGene00002016,3823.35293662801,-3.4561190696159,0.0480286897754188,-71.9594701786922,0,0,hsp-16.2,Inf
WBGene00002017,14250.2159073314,-3.53518375705347,0.0320198579504702,-110.405978768608,0,0,hsp-16.11,Inf
WBGene00002018,4444.83260136801,-3.35444250777229,0.0455424981335133,-73.6552153537634,0,0,hsp-16.41,Inf
WBGene00002019,13560.4022510104,-3.29158885354341,0.0384055467631858,-85.7060797451947,0,0,hsp-16.48,Inf
WBGene00002026,8824.21437373441,-4.6690339805634,0.0424879609024704,-109.89075214226,0,0,hsp-70,Inf
WBGene00004000,2147.92565162562,-1.90471085279748,0.0493470679902638,-38.5982578169241,0,0,pgp-6,Inf
WBGene00006760,3329.75539279327,-2.10640751413195,0.0412358488524044,-51.0819486624715,0,0,unc-23,Inf
WBGene00008944,9141.43044099835,-1.92074254437289,0.0296137395668662,-64.8598445338511,0,0,F19B2.5,Inf
WBGene00015709,1322.09895395782,-2.72015052005905,0.0690298907829446,-39.405400895276,0,0,cyp-33A1,Inf
WBGene00021625,5173.37915609616,-1.50390208269677,0.0376412357046061,-39.9535789552399,0,0,Y47D7A.13,Inf
WBGene00021627,5136.00686700147,-1.67352058513901,0.0373614590033858,-44.7926989411027,0,0,Y47D7A.15,Inf
WBGene00022382,8140.22052368511,-1.70026504301689,0.0339501398604919,-50.08123825126,0,0,Y94H6A.10,Inf
WBGene00015048,2486.0032425143,-1.71500489550903,0.0458140432103418,-37.4340436978043,1.09214146843124e-306,8.23092417683207e-304,faah-2,303.084551399008
WBGene00000718,3110.09399833311,-1.53189059065939,0.0411761027031177,-37.203389589938,6.01509572818323e-303,4.31740656718599e-300,col-145,299.364777052207
WBGene00000616,14733.7253338522,-1.09307917213859,0.0294728054648592,-37.0877205239887,4.43178829943316e-301,3.03637931987982e-298,col-39,297.517643975122
WBGene00000740,10304.0833855253,-1.328569047851,0.0358257446303342,-37.0841991299766,5.05052537956935e-301,3.30985082809778e-298,col-167,297.480191579032
WBGene00009691,19393.5034475245,-4.55438835282413,0.12321075178114,-36.9642120268376,4.30589634752081e-299,2.70428231859088e-296,F44E5.4,295.567947971382
WBGene00000653,5212.27586078571,-1.37086085734463,0.0385041152845236,-35.6029698959384,1.26027541764568e-277,7.59845254806934e-275,col-77,274.119274844333
WBGene00022645,23690.470820984,-0.804193575306717,0.022885541187773,-35.1398102718398,1.66347350855861e-270,9.64366776711688e-268,ZK6.11,267.015757759866
WBGene00004300,7184.26691129482,-1.20868130327729,0.0347138969725022,-34.8183698371496,1.28255084790345e-265,7.15995886312915e-263,ram-2,262.145089472883
WBGene00000638,6380.63915203377,-1.15770325672668,0.0334424448978827,-34.6177816921505,1.36465026355868e-262,7.34620479379283e-260,col-62,259.133936968779
WBGene00003091,8495.90106098144,-1.01265724673657,0.0297197064502487,-34.0735951895009,1.81574431919427e-254,9.43748762869491e-252,lys-2,251.025143604665
WBGene00000700,2650.56072665821,-1.4719184726134,0.0438400469280732,-33.5747467384859,3.92065211490635e-247,1.96986631093278e-244,col-126,243.705563247135
WBGene00000734,5183.50158170324,-1.3938221673009,0.0420067055434008,-33.1809445485035,2.02747972960858e-241,9.8581296659323e-239,col-161,238.006205473782
WBGene00022679,2108.04742473501,-1.53761065478613,0.0465635659486387,-33.0217547445178,3.95832564676538e-239,1.86449507730295e-236,ZK180.5,235.729438758939
WBGene00008602,2610.85181855936,-1.50601785682178,0.0459365733067554,-32.784723552732,9.72160277382139e-236,4.44041571544878e-233,oac-14,232.352576368968
WBGene00000666,2569.17594078872,-1.4859068827944,0.04574933677049,-32.4793098148881,2.08972634428925e-231,9.26424858455055e-229,col-91,228.033189800179
WBGene00001725,2345.35708708482,-1.47103348545885,0.0453490060510311,-32.4380535221323,7.9838969675073e-231,3.4383222568925e-228,grl-16,227.463653421473
WBGene00008486,2648.8434059429,-1.46181673345952,0.0452441026176159,-32.3095530441653,5.13596310911991e-229,2.15039922066012e-226,ugt-44,225.667480906022
WBGene00011460,4808.45389171163,-1.07449977976295,0.0333115996672733,-32.256024642929,2.89615300952329e-228,1.17983011655526e-225,ttr-14,224.928180522147
WBGene00000732,47278.1290478672,-0.709063548570431,0.0220058878330469,-32.221537887947,8.81329995144247e-228,3.49586500442348e-225,col-159,224.456445346337
WBGene00016788,1335.6768389376,-1.87696471378646,0.0584464729201247,-32.114251211559,2.78878786043975e-226,1.07783075436944e-223,C49G7.10,222.967449428587
WBGene00000672,2113.83648815229,-1.53066666217385,0.0479068569154445,-31.9508888858118,5.25112321866543e-224,1.9787545068736e-221,col-97,220.703608082966
WBGene00000256,4679.59073569828,-1.31373879574351,0.0422470175151454,-31.096604518237,2.67704072970301e-212,9.84171583385693e-210,bli-6,209.006929178783
WBGene00000596,5634.64620322037,-1.3176678804384,0.0427926300577551,-30.791934935058,3.3601134503878e-208,1.20588071518322e-205,col-7,204.918695650156
WBGene00045305,1071.58768104296,-2.18974686792092,0.0719528364058343,-30.4330861339521,2.00573287460238e-203,7.03079339973991e-201,ZC250.4,200.152995663645
WBGene00010661,3522.81029721784,-1.08881700519283,0.0363071237398761,-29.9890735766818,1.3624206745367e-197,4.66721973347538e-195,tyr-2,194.330941751978
WBGene00000649,3191.14000419479,-1.33246450772644,0.0444985557291191,-29.9439944936122,5.26787937017328e-197,1.76450546103604e-194,col-73,193.753376993187
WBGene00018297,4495.58141834999,-1.2820011808688,0.0428798309464291,-29.897533469067,2.11857034240093e-196,6.94200234152376e-194,F41F3.3,193.158515244178
WBGene00000753,3241.8069017327,-1.37993131945206,0.0461969427298792,-29.8706199568385,4.73947111284483e-196,1.51995846987043e-193,col-180,192.818168278208
WBGene00000691,10969.5981494766,-1.09964869747787,0.0368281799178787,-29.8588933781121,6.72968778212804e-196,2.113262165417e-193,col-117,192.675046622242
WBGene00008922,4044.90483717775,-1.37328093510107,0.0460871980319534,-29.7974490475411,4.21551180551062e-195,1.29674304988697e-192,F17C11.11,191.887146071003
WBGene00009982,4123.22102163793,-1.05631372111025,0.0355036895928879,-29.7522238737085,1.62299558683499e-194,4.89268249607275e-192,F53F1.4,191.310452966271
WBGene00009824,884.104763025124,-2.15253658451338,0.0731908512025487,-29.4099132493546,4.10166514137671e-190,1.21224311129355e-187,gpdh-1,186.916410275132
WBGene00001074,2680.75923984898,-1.3639895763231,0.0466259840010375,-29.2538507346623,4.01139232101735e-188,1.1627637779749e-185,dpy-13,184.934508505686
WBGene00000599,7499.54757820503,-0.995871013179343,0.0341379092886563,-29.1719977564725,4.39520234017363e-187,1.24997895987617e-184,col-10,183.903097297141
WBGene00003616,1586.87234502261,-1.62530371384155,0.0560056223517508,-29.0203669844718,3.64158531635283e-185,1.01647436061826e-182,nhr-17,181.99290357146
WBGene00001066,2581.75470471316,-1.30092353736782,0.0452605671111027,-28.7429791627311,1.10858518081288e-181,3.03812807825318e-179,dpy-4,178.517393921551
WBGene00020579,4207.94631149482,-1.05814336317255,0.0369559179252092,-28.6325823461889,2.64158229809861e-180,7.11010178200722e-178,T19D12.4,177.148124182245
WBGene00000694,1657.08804315144,-1.57744219148658,0.05509675016793,-28.6304035479167,2.81183207181117e-180,7.43556926638766e-178,col-120,177.12868577633
WBGene00009692,25195.891154931,-4.53452339039362,0.159009485128672,-28.5173138364936,7.14640023816559e-179,1.85720156534258e-176,F44E5.5,175.731140958961
WBGene00000603,1669.81869305852,-1.62876582168966,0.0572244599919953,-28.4627556453568,3.38819976484559e-178,8.6559889924606e-176,col-14,175.062683304515
WBGene00009957,2094.63837942697,-1.33436685701251,0.0471914465459785,-28.2756082866084,6.89589709967181e-176,1.73236428305589e-173,F53B2.8,172.761360778897
WBGene00000735,2792.83621402648,-1.33561937033755,0.0474698055509064,-28.136187937514,3.53659075008947e-174,8.73885776657354e-172,col-162,171.058545329161
WBGene00001244,9742.23475004328,-0.754651382182769,0.0272094922949024,-27.7348571595417,2.65369421836368e-169,6.45147305699933e-167,elo-6,166.190341112111
WBGene00000667,24406.2385715128,-0.820528666701794,0.0298747867928838,-27.4655907133451,4.52556408417651e-166,1.08275916572687e-163,col-92,162.965468131211
WBGene00000647,2883.30004234557,-1.34158207665067,0.04900395879983,-27.3770142149275,5.15136519159483e-165,1.2132269927017e-162,col-71,161.916057935774
WBGene00000720,21230.4851775759,-0.879546899520548,0.0327141752061839,-26.8858039054057,3.21888663621288e-159,7.46435050271334e-157,col-147,156.127007975663
WBGene00011737,4423.16933261375,-1.01224314674879,0.037882010754855,-26.720945551156,2.68789743580135e-157,6.13858758330815e-155,sqst-1,154.211931543409
WBGene00002021,2319.32917447582,-1.20638146278508,0.0452257147917345,-26.674679843989,9.25978251165055e-157,2.08317465370311e-154,hsp-17,153.681274317206
WBGene00006603,5364.55596999001,-0.824211020409237,0.0310027408783793,-26.5851017380217,1.00936352116072e-155,2.23737299330228e-153,tps-2,152.650261608469
WBGene00000681,3084.98464999393,-1.38601543199635,0.0525117627683842,-26.3943802098151,1.58961703694569e-153,3.47250689824383e-151,col-107,150.45935688285
WBGene00002273,10964.7478262962,-0.757089928447902,0.0287916420226222,-26.2954758833498,2.16036863601331e-152,4.65189092151838e-150,lec-10,149.332370477249
WBGene00004394,1514.2020632279,-1.45427357053393,0.0555740847099919,-26.1681965276248,6.11841510688826e-151,1.29891367473418e-148,rol-1,147.886419711
WBGene00016596,975.796772644587,-1.82559548287986,0.070331208981691,-25.9571178899414,1.51118370641181e-148,3.16362111204794e-146,C42D4.3,145.499815534909
WBGene00001784,2976.18131284521,-1.07556481595916,0.0417662153041216,-25.7520296758375,3.05903740353845e-146,6.31628366897741e-144,gst-36,143.199538373739
WBGene00009983,1317.78668032624,-1.55471780754492,0.060403524700952,-25.7388590358273,4.29604276418862e-146,8.75057467359664e-144,cut-2,143.057963424763
WBGene00010877,1242.32055321088,-1.59491849608211,0.0623834301910721,-25.5663802262409,3.61019143243529e-144,7.25552206147962e-142,lact-4,141.139331333018
WBGene00000741,3287.62663454195,-1.29484315174065,0.0513588726982752,-25.2116739272615,2.98319929981728e-140,5.91654776922972e-138,col-168,137.227931624712
WBGene00000663,2790.45222307179,-1.2493992104241,0.0499445211371127,-25.0157411058988,4.1214416532848e-138,8.06785584934569e-136,col-88,135.093241870052
WBGene00018138,14007.0554954495,-0.634151272129454,0.0253555642042868,-25.0103396248718,4.71866416054755e-138,9.11851601178631e-136,folt-2,135.040075834954
WBGene00003514,11370.2429364761,-0.770271569164031,0.0310739628002011,-24.7883275820568,1.19794823624053e-135,2.28565490694348e-133,myo-2,132.640989339699
WBGene00000739,9749.21356842463,-0.676440432594833,0.027319013257498,-24.7607930132387,2.37233556042519e-135,4.46977673778612e-133,col-166,132.349714169031
WBGene00017892,16735.3382502593,-0.647824865142237,0.0261652207534552,-24.759006287256,2.47982011438384e-135,4.61460846717378e-133,F28B4.3,132.33586514139
WBGene00022644,12922.048563879,-0.618269435235374,0.0251058479500588,-24.6265107820796,6.57075514815469e-134,1.20781697985531e-131,dod-19,130.917998869242
WBGene00000711,2002.09621920572,-1.35710309739277,0.0553020642944299,-24.5398271241289,5.55399366640511e-133,1.00861863293644e-130,col-138,129.996273013069
WBGene00004131,7538.00396501466,-0.697442174284401,0.0286992453707209,-24.301760038469,1.87810881455554e-130,3.37008740021377e-128,pqn-44,127.472358835942
WBGene00012101,590.615282059742,-2.04756676245259,0.0848880071219438,-24.1208014167561,1.51253041248986e-128,2.68216128323055e-126,zip-10,125.571515110783
