,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000001,5146.06056772035,0.194967188449758,0.0332369438802782,3.42288036876004e-09,1.30088441246394e-08
WBGene00000002,195.671409436655,-0.141886130847212,0.124937369561583,0.205527222615455,0.261030656090559
WBGene00000003,706.313110105774,-0.223678826666267,0.083963879254,0.00511824294665387,0.00879873128819728
WBGene00000004,691.76812718692,0.0963377145638649,0.07486810074388,0.182071885651353,0.234121270467739
WBGene00000005,515.184657590953,-0.211635435145679,0.0828818369024878,0.00737244906368902,0.0123362483056155
WBGene00000006,670.360634919628,-0.385006557845112,0.0734182082818772,5.9016845577969e-08,1.92088299157142e-07
WBGene00000007,622.058947139602,-0.615154940061541,0.0777286919825263,4.51103391021728e-16,3.81136850497226e-15
WBGene00000008,33.6225164604447,-0.844002900845239,0.352208255488139,0.0012740878951152,0.00238889499229648
WBGene00000009,38.8512087093816,0.0149823125233861,0.210428932421484,0.917751664711683,0.935059540502852
WBGene00000010,3648.78950579455,0.160916307481192,0.0391309545575014,3.27942019600084e-05,7.58372209486356e-05
WBGene00000013,26.9943008454406,-0.446573120729376,0.376902156950867,0.0338811336961412,0.0506774247821009
WBGene00000015,35.8172491871084,-0.336908020732925,0.309575927908339,0.0683246938049518,0.096455756272552
WBGene00000016,315.575989107763,-0.233712771005418,0.103590245622794,0.0151752315752001,0.0241359360064357
WBGene00000017,289.089693608385,-0.367685178152334,0.111801398456352,0.000380523812085121,0.000766796179085432
WBGene00000018,1290.17573455356,0.0964501016970667,0.0565330996639638,0.0817270675053394,0.113788295631626
WBGene00000019,677.657805166499,-0.637491709257813,0.0735232388770541,7.25768445846014e-19,7.89856157706641e-18
WBGene00000020,1389.25333888246,-0.357717621128565,0.0546516691629126,2.44111236893869e-11,1.19270297364709e-10
WBGene00000021,58.8533770966752,-0.189160472936265,0.209683904610459,0.21657280872573,0.273450307254881
WBGene00000022,2021.92342341951,-0.690957971557897,0.0475566973225607,1.21393035836839e-48,5.99920403006125e-47
WBGene00000023,545.272246435084,-0.531115345918931,0.0842060325970398,6.400726531599e-11,2.97496611195781e-10
WBGene00000024,791.996855885996,-1.06883278229581,0.0844136212389468,7.94009480118009e-38,2.53561544360567e-36
WBGene00000029,335.761707964191,-1.13839920427838,0.120448143479641,2.94082387392312e-22,4.15825874780893e-21
WBGene00000030,444.426100772246,-0.95058405913732,0.107177898723775,7.3916809710902e-20,8.75214511211646e-19
WBGene00000031,916.999486192839,-1.16192591591199,0.0705226259095417,5.21177632696217e-62,3.63690298964355e-60
WBGene00000033,406.282343558758,-1.29608559074923,0.0954889325112466,4.16082490727248e-43,1.6374964445775e-41
WBGene00000034,519.058400205959,-1.12022028494976,0.0893613519742293,4.27917089094604e-37,1.33540254325527e-35
WBGene00000035,599.824160101264,-0.0204413858192047,0.0753301809721583,0.777847340501693,0.816500598784151
WBGene00000036,1201.53197941028,-0.131261543513197,0.0566366978249392,0.0178566512271703,0.0280689648500508
WBGene00000037,71.7336823789159,-0.0101926611014699,0.172726058577058,0.939817102853452,0.952583094029324
WBGene00000038,45.3139482802302,-0.1278747961183,0.214051859005107,0.391088515134816,0.457747879222479
WBGene00000039,143.378708116452,-0.87190079961052,0.156949677313187,2.93290366133155e-09,1.12088379531568e-08
WBGene00000040,13451.0819052344,-0.0881415597643038,0.0247878475481312,0.000356446728695234,0.000720590335518142
WBGene00000041,49127.0028146957,0.0535808345699698,0.0202479146180077,0.00844448282094078,0.0140072289600573
WBGene00000042,30.5334593535126,-0.280154213036586,0.304342593914273,0.107747026156377,0.146023280458108
WBGene00000043,18.1690046961733,-0.279861617556402,0.35042904566594,0.0986509744175186,0.134884446425549
WBGene00000044,28.1180612723496,-0.135991449976985,0.239916849354191,0.363345166078128,0.429174961860013
WBGene00000046,30.6664629285019,-0.0866993986462556,0.224712537787436,0.548841521013202,0.611704247724932
WBGene00000047,58.1718603650189,-0.430780347019469,0.254614101845586,0.0197885941930389,0.0308324871068509
WBGene00000048,21.6796812777031,0.0782898820839868,0.23947585944659,0.575740928040812,0.636134218469371
