,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000001,2897.69077843575,0.0344740153292156,0.0817154806625337,0.267941133376386,0.663563957722542
WBGene00000002,175.355191356894,-0.00184637464520851,0.0741233737654473,0.933411802044846,0.971461887449989
WBGene00000003,494.326064872846,-0.0240368693893222,0.0619224338881949,0.546355554689968,0.813522370474061
WBGene00000004,427.642322771326,0.0189181691119405,0.0682643219558397,0.598201861761303,0.839308075237407
WBGene00000005,580.873580126408,-0.00317969212892394,0.0761221360040729,0.824168486435735,0.925429464254269
WBGene00000006,492.078229433704,-0.0687915651994259,0.0859232528935037,0.127877964093718,0.663563957722542
WBGene00000007,696.916818932987,-0.00666967882986908,0.0765197761964514,0.672582526029928,0.86708595328375
WBGene00000008,21.8383163566274,-0.0276382025465229,0.0821043817465279,0.171986571728234,NA
WBGene00000009,31.551227902613,-0.00353663228994006,0.0747470090334967,0.866292360377333,0.944996909277723
WBGene00000010,1928.86509187946,0.0146091366718485,0.0763471651420068,0.483100909445522,0.773897279111838
WBGene00000016,205.390643166914,-0.00985051865550806,0.0638935143909084,0.789707037098627,0.912939961273318
WBGene00000017,227.522824858069,-0.0999003042236539,0.145360994441964,0.0367505253873772,0.57588185133733
WBGene00000018,830.332260478934,0.0311024852410512,0.0632004718117123,0.438397787851674,0.742073890546814
WBGene00000019,738.138330101098,-0.0078468700013354,0.0765720053246767,0.630592462403034,0.850308666081591
WBGene00000020,1200.53070468888,-0.0201594884853806,0.0762194675604766,0.439535859054776,0.742792691295506
WBGene00000021,72.3284426730985,0.000128388635256752,0.0765785716866173,0.983726468983602,0.993058655777494
WBGene00000022,1566.76120141061,-0.13882714042088,0.198269411400452,0.0229802524644164,0.46292589502018
WBGene00000023,676.501013322229,-0.00511061868711039,0.0767026841372783,0.716374304448022,0.882646084851107
WBGene00000024,739.962147852936,-0.830231220529176,0.298302690555068,0.000177860655215133,0.0305107701455613
WBGene00000027,21.7089440243427,-0.0191725737759985,0.0804753833283464,0.0962525592966668,NA
WBGene00000029,379.676784248339,-0.880386887027107,0.442758144644694,0.00114646511314661,0.0893849836270691
WBGene00000030,461.446947341669,-0.808159217152441,0.374228954100036,0.000886534063332488,0.076904805835931
WBGene00000031,939.24542124004,-0.760031185141078,0.384303175746491,0.00122405061491239,0.0942721854799927
WBGene00000033,407.174093173733,-0.813275066912937,0.373089363520388,0.000795490324545665,0.0724780073474939
WBGene00000034,574.181700848849,-0.0428835452220374,0.094210309119638,0.0163587180880284,0.392496609547533
WBGene00000035,348.118296977129,0.0111638375200531,0.0717801556685363,0.704356974131688,0.878617509306081
WBGene00000036,792.217074972893,-0.0462145148191562,0.05070908248847,0.242745576176799,0.663563957722542
WBGene00000037,59.4296021914679,0.0207859801835766,0.0767185224448536,0.414591843565019,0.727518919851003
WBGene00000038,35.9631059002471,0.00293154463972129,0.0740973199804922,0.898371515178104,0.958096522859597
WBGene00000039,281.255811131865,0.000142687912120494,0.077191339606564,0.992637272747368,0.996856392341929
WBGene00000040,10631.3465212452,0.00678881938457885,0.0685056945666061,0.993512415579415,0.99711856442047
WBGene00000041,31877.8579943015,0.0620748619003602,0.0532124812691925,0.107878624311463,0.663563957722542
WBGene00000042,25.2963547849767,-0.0249841816478681,0.0809868259068914,0.199511411291912,0.663563957722542
WBGene00000044,21.42896644087,-0.0237297039327647,0.0791516687105228,0.298295706675051,NA
WBGene00000046,27.3690631399379,-0.0212512549344909,0.0794667794874856,0.261862364686919,0.663563957722542
WBGene00000047,77.7495027578457,-0.00221557631649719,0.0768216278695692,0.856339763694238,0.939876884174292
WBGene00000050,52.7859326983885,-0.0217123738289603,0.0749258515161429,0.458221974881341,0.75530499347829
WBGene00000051,85.1294821255069,-0.0125179491574069,0.0753192986031216,0.585537556817383,0.834207752450285
WBGene00000054,108.041349060901,-0.00592448068101641,0.073812051125402,0.804196481106442,0.918369097741445
WBGene00000055,126.023178201154,0.00111542728544839,0.0743933668283602,0.960229213199121,0.984691534799469
WBGene00000057,185.362630029367,-0.00973434219552862,0.0636706489407024,0.792188969152759,0.913862481793236
WBGene00000058,19.7366715910353,-0.00703402990779247,0.0760049940306894,0.69510496166598,NA
WBGene00000059,36.828323893274,0.0144857905476782,0.0756407050088928,0.539253125498955,0.809094089584022
WBGene00000060,23.9791344788996,-0.0175770858473528,0.0776950982066335,0.385751780730955,NA
WBGene00000061,29.7182590870564,-0.0140713864389978,0.0779940627057807,0.368529773576481,0.696412394188851
WBGene00000063,73790.262436665,0.00695029879124807,0.055756371562502,0.692584725344103,0.874704564255421
WBGene00000064,45773.8999157054,0.0546359646376801,0.0913550281680652,0.136241131106452,0.663563957722542
WBGene00000065,64773.3394385316,-0.0274191778968294,0.0362763109400562,0.392163743880862,0.712560295841921
WBGene00000066,57784.7281904565,-0.0608920545222369,0.0506207581536447,0.11655654916796,0.663563957722542
WBGene00000067,31474.989839238,-0.0151792058081881,0.0772282174430782,0.52603391048768,0.801128135948075
WBGene00000068,496.976721644255,-0.0446094361617757,0.082077382238353,0.209142468594812,0.663563957722542
WBGene00000069,48.4298346890634,-0.00414712997435819,0.074992592540109,0.837831801107984,0.932503515115908
WBGene00000070,463.319373951949,-0.00898997081999135,0.0767477163701455,0.579682477532101,0.830244912852921
WBGene00000071,535.544658392356,-0.0347866907773323,0.0833802908431232,0.193005574785457,0.663563957722542
WBGene00000072,427.913055359259,-0.0206098911681036,0.074617213175168,0.478385980624461,0.771119335915208
WBGene00000073,717.375414147026,0.0010577760325008,0.0591806910340072,0.982560814242348,0.99267268810975
WBGene00000074,821.892557472802,0.0281674696897763,0.0785680685577497,0.391460325643484,0.711842988859104
WBGene00000075,785.402789299638,0.0549902961547593,0.086703216091739,0.165201751087358,0.663563957722542
WBGene00000079,3682.94062178851,0.0556111541119039,0.0885032468181541,0.153293300690138,0.663563957722542
WBGene00000080,3609.6888672415,0.0413158390108286,0.0849066604536916,0.188032982215099,0.663563957722542
WBGene00000081,8846.52909120174,-0.00549520139009899,0.0749714249552648,0.815871373385857,0.922000633051827
WBGene00000082,307.753104632498,-0.0186275388490468,0.0797673411721228,0.191197070387006,0.663563957722542
WBGene00000083,1885.71413841212,-0.0498801994397485,0.0687001018988969,0.243193972311051,0.663563957722542
WBGene00000084,479.814993508248,-0.00783547640430593,0.0748695584329108,0.720336663480206,0.884089900415044
WBGene00000085,39.301219973597,-0.014268055555261,0.0763391506287666,0.505285955442942,0.789916588412539
