,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,logq
WBGene00001564,10065.1741913891,0.425191105926612,0.0219461227988909,19.3743154461936,1.27141067681237e-83,1.42690420258653e-79,icl-1,78.8456051829362
WBGene00000653,116.389413992201,-3.62079240625328,0.23292711982112,-15.5447438195858,1.72711858184843e-54,9.69172592204246e-51,col-77,50.0135988760273
WBGene00018297,104.210107997194,-3.95869635724124,0.267307114538598,-14.8095435621846,1.27100443514239e-49,4.75482759186768e-46,F41F3.3,45.322865225784
WBGene00006603,2395.93362106985,0.561850231887104,0.0387940893038378,14.4828823660908,1.55439719566444e-47,4.36124993173551e-44,tps-2,43.3603890243416
WBGene00001244,4814.8478453727,-0.391847234247921,0.0278278480261853,-14.0811188087272,4.96179816069029e-45,1.11372521514854e-41,elo-6,40.953221947641
WBGene00000647,151.083456108767,-2.205831500715,0.164104050496464,-13.44166395675,3.44599688864026e-41,6.44573718020161e-38,col-71,37.1907274064742
WBGene00018393,12031.2488637727,-0.249590313860903,0.019223191068136,-12.9838127798989,1.51164006032594e-38,2.42359091386258e-35,msra-1,34.6155406843595
WBGene00000699,113.206300318537,-2.79923726889036,0.216032126326619,-12.9575045919707,2.13066594333883e-38,2.98905798526146e-35,col-125,34.524465659924
WBGene00021627,83.5545712904632,-3.57613189502825,0.280210872720896,-12.7622881307331,2.6626322523963e-37,3.32030241873819e-34,Y47D7A.15,33.4788223582213
WBGene00001243,4071.27555881411,-0.341261586740042,0.0291875553059813,-11.6920236437242,1.40010228967161e-31,1.57133479969844e-28,elo-5,27.8037312712488
WBGene00000681,76.2420543992738,-2.88101623876074,0.25316954226058,-11.3797900530839,5.27265109153327e-30,5.37954210911617e-27,col-107,26.269254688636
WBGene00021977,910.711576659044,0.6374365786614,0.0583354507108738,10.9270875752843,8.55502132236917e-28,8.00108369174577e-25,Y58A7A.3,24.0968511868241
WBGene00000615,143.212905586583,-1.81617437166283,0.1671996710783,-10.8623082805726,1.74287126384584e-27,1.50463416878015e-24,col-38,23.8225690799991
WBGene00001898,7039.44585868147,0.253507000618196,0.0237844337553215,10.658525791537,1.59099279341856e-26,1.27540800860975e-23,his-24,22.8943508602952
WBGene00000301,5113.90917708771,0.276897022594549,0.0260361374892798,10.6351037172299,2.04600971293398e-26,1.53082446721721e-23,cav-1,22.8150746050492
WBGene00000672,64.9692274059605,-2.98295729635166,0.282451191328106,-10.5609655329318,4.51988519068374e-26,3.17041696844023e-23,col-97,22.4988836162731
WBGene00000735,55.9200165623784,-3.37843790841692,0.321008917305194,-10.5244363202687,6.66592232876934e-26,4.40068507622225e-23,col-162,22.3564797094994
WBGene00022951,2409.65692377393,-0.411250588782657,0.0397146219662836,-10.3551429781151,3.96593573006957e-25,2.47276092769838e-22,C30E1.9,21.6068178702139
WBGene00000503,3423.71726937558,0.326629141888835,0.0318182206859456,10.2654747766304,1.00823790485085e-24,5.95550210849528e-22,cht-1,21.2250816172616
WBGene00016422,1576.59194942792,0.473550041892324,0.0469806384302395,10.0796851152946,6.79435090345435e-24,3.81265000947341e-21,noah-1,20.4187730599062
WBGene00016788,489.704980842237,0.828190429394116,0.0834031036313233,9.9299713480096,3.08344131271031e-23,1.64787913583561e-20,C49G7.10,19.7830746449232
WBGene00018519,25189.9951381802,0.161845797437837,0.0163851327793967,9.87760060396632,5.20646009198717e-23,2.65600461874418e-20,F46H5.3,19.5757711740731
WBGene00001169,9014.49501985951,0.212132617943834,0.0216164259238236,9.81349177201586,9.84998785068266e-23,4.8063658107918e-20,eef-1A.2,19.3181831782757
WBGene00003096,1068.22228085964,0.525538723638159,0.0536931266829675,9.78782119993153,1.27003055739792e-22,5.93898039403202e-20,lys-7,19.2262881084286
WBGene00000601,268.579870524849,-1.1419398265838,0.119618996947416,-9.546475524166,1.34183658780466e-21,6.0237728099727e-19,col-12,18.2201314161626
