tph1.ascr_Aft.1_S10_R1_001,tph1.cnt_Bef.2_S2_R1_001,cnt50.1_S1_L001_R1_001,ascr58.3_S12_L001_R1_001,cnt58.1_S7_L001_R1_001,tph1.ascr_Bef.3_S6_R1_001,ascr50.1_S4_L001_R1_001,ascr50.2_S5_L001_R1_001,ascr58.1_S10_L001_R1_001,tph1.ascr_Aft.2_S11_R1_001,tph1.cnt_Bef.1_S1_R1_001,cnt58.3_S9_L001_R1_001,ascr50.3_S6_L001_R1_001,tph1.cnt_Aft.3_S9_R1_001,tph1.ascr_Bef.1_S4_R1_001,cnt50.3_S3_L001_R1_001,tph1.cnt_Aft.1_S7_R1_001,cnt58.2_S8_L001_R1_001,tph1.ascr_Aft.3_S12_R1_001,cnt50.2_S2_L001_R1_001,tph1.cnt_Bef.3_S3_R1_001,tph1.ascr_Bef.2_S5_R1_001,ascr58.2_S11_L001_R1_001,tph1.cnt_Aft.2_S8_R1_001
WBGene00000001,2420.331,1766.148,1723.139,2370.902,2442.741,1830.93,1805.655,1798.436,2813.933,2131.72,1447.47,2299.748,1888.927,1789.473,1573.198,1760.675,1961.468,2284.308,1917.019,2110.589,1339.891,1488.421,2271.034,1802.122
WBGene00000002,145,156,104,68,51,182.436,143,121,86,133,147,64,145,96,146,161,109,59,123,156,138,123,58,93
WBGene00000003,154,404,307,111,158,389,368,342,155,125,314,137,361,109,326,263,143,135,129,360,318,349,127,120
WBGene00000004,840,311,335,435,533,292,315,282,548,706,264,463,317,474,251,304,599,508,694,383,245,224,436,543
WBGene00000005,262,679,183,148,126,628,231,213,173,275,496,104,237,194,511,167,228,108,245,190,530,504,130,245
WBGene00000006,164,437.999,418,139,160,421.001,388,380,202,186,337,151.001,361,147,322,387,136,146,143,477,334,341,144.999,132
WBGene00000007,160,784,356,74,83,719,299,287,123,184,618,90,322,160,653,289,193,79,143,441,597,634,80,143
WBGene00000008,8,16,5,0,0,14,12,8,0,5,12,0,11,5,20,4,7,1,5,7,11,14,2,9
WBGene00000009,23,29.152,36,10.045,20.077,22.071,32,28.174,7.032,21,27.153,16,35,18.06,19.097,32.112,17.056,16,16,47.171,22,25,15,18
WBGene00000010,1315.779,1043.985,1207.943,1482.597,1659.286,1076.119,1221.953,1263.192,1840.647,1265.827,867.779,1500.562,1360.085,1021.004,908.627,1154.682,1173.524,1612.246,1126.328,1547.043,857.494,893.294,1505.658,1014.583
WBGene00000012,7,8,2,8,3,5,8,4,10,5,5,7,1,2,1,9,6,12,5,8,6,4,3,2
WBGene00000013,4,9,4,5,0,13,5,5,5,10,11,0,9,9,8,8,5,2,12,8,17,8,5,14
WBGene00000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000015,1,3,40,8,11,4,36,40,13,0,5,8,40,0,7,33,0,14,1,37,4,11,12,2
WBGene00000016,64,135,213,116,158,168,218,217,118,71,128,153,196,58,135,202,48,122,51,303,123,136,158,46
WBGene00000017,154,206,245,181,253,190,288,297,241,146,187,225,323,94,140,287,124,217,126,351,199,141,153,109
WBGene00000018,1188.168,623,665.731,976.979,994.126,596.751,613,622.805,1200.292,1065.234,517.653,981.119,707,811.829,519,610.719,873.863,934.843,915.008,791.873,501.587,455,994.117,821.86
WBGene00000019,20,763,571,33,35,839,550,438,45,7,610,58,522,18,653,530,13,51,25,629,705,615,19,22
WBGene00000020,497,1244,934,434,581,1115,932,794,555,447,927,543,963,333,934,924,394,486,387,1180,928,863,467,383
WBGene00000021,2,89.329,79,6,4,79.247,31.13,29.194,1,1,53.207,4,28.17,5,77.253,58.204,2.008,2.006,1,68.255,59.207,51.177,6,1
WBGene00000022,823,1483,1092,1237,1228,1314,1187,1192,1632,746,1183,1104,1323,585,1098,1053,633,1027,662,1306,1172,1016,1269,575
WBGene00000023,46,847,503,31,48,812,368,418,44,33,621,43,433,27,655,484,24,53,48,592,601,555,35,46
WBGene00000024,0,887.962,1308.711,0,52.261,344.424,883.409,986.351,9,5.059,720.351,20.621,1001.578,0,370.155,1179.209,14.994,24.467,0,1529.73,555.785,367.706,0,0
WBGene00000025,0,3.05,0,0,1.17,4.07,2,2,4,0,4,0,2,0,2,1,0,0,0,2,1,0,0,0
WBGene00000026,0,0,0,1,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000027,0,28.21,15.087,2,0,16.631,5.861,11.858,0,2.008,28.169,0,10.535,1.01,14.837,24.25,1,2,0,19.925,23.812,11.691,0,1
WBGene00000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000029,0,519.985,594.608,1.305,7.088,246.942,497.988,549.007,0,0,517.73,13.173,553.078,2.176,197.911,661.043,7.421,17.173,1.872,702.809,442.364,198.203,0,0
WBGene00000030,4.362,670.219,677.396,0,22.008,265.851,603.242,551.352,8.477,2.986,511.368,20.545,618.692,0,239.78,599.115,0,13.259,0,919.053,414.485,229.458,2.175,3.115
WBGene00000031,5.486,1339.162,1652.969,13.695,52.884,677.741,1399.979,1369.679,17.73,6.014,1136.642,41.507,1330.1,5.824,578.197,1824.527,4.579,44.359,7.321,2127.832,1075.677,535.205,4.292,7.885
WBGene00000032,0,284.393,169.396,5,8.49,85.392,138.134,149.669,7.493,0,189.158,1.512,169.928,0,69.367,213.873,0,1.53,1.515,192.698,202.162,51.116,0,0
WBGene00000033,1,611,593,12,18,316,474,542,13,0,465,18,563,4,229,613,0,12,4,766,409,220,13,3
WBGene00000034,1,804,1068,14,37,465,890,847,22,7,658,31,881,14,361,1041,10,29,3,1295,614,378,8,8
WBGene00000035,220,213,413,223,265,224,372,346,261,214,170,242,412,145,203,399,170,226,157,509,195,178,206,155
WBGene00000036,284,650,979,422,499,562,900,916,530,253,516,469,994,180,484,990,214,488,252,1252,473,478,389,193
WBGene00000037,46,55,52,31,22,63,61,54,33,41,43,44,63,25,49,72,22,25,30,93,34,47,25,22
WBGene00000038,17,33,30,10,13,38,45,23,11,5,27,8,35,6,27,28,8,7,13,31,20,26,9,12
WBGene00000039,228.363,361.825,404.75,37.493,25.16,371.366,426.208,363.346,29.225,173.588,257.094,26.449,419.937,120.274,319.715,398.802,119.836,36.372,143.89,488.915,278.983,320.255,25.091,132.398
WBGene00000040,5436,9804,5802,4886,5387,9304,6840,6539,6494,5026,7525,5034,7128,3884,7906,5702,4486,4967,4386,6824,7553,7687,5186,4083
WBGene00000041,21584.927,24319.752,28427.281,23669.965,25791.277,23921.529,30140.398,28953.519,29706.979,19390.909,18780.411,23812.949,31735.342,14638.901,19671.056,27271.172,16454.009,23382.954,16740.909,35824.786,18481.318,19732.795,23895.951,15384.906
WBGene00000042,11,20,25.153,9.056,8,20.093,27.11,24.187,10,7,23,5,21.1,6,17,29.23,9,7.043,4.022,17.081,24.176,18.082,14.094,7
WBGene00000043,7,15,10,2,12,6,15,24,6,6,13,6,14,4,11,10,6,3,6,13,17,13,5,4
WBGene00000044,16,20,14,19,14,20,24,19,11,9,14,7,21,14,16,14,19,12,13,22,19,10,14,10
WBGene00000045,4,7,9,4,4,3,8,9,6,6,5,5,7,3,10,5,6,10,3,9,4,6,6,4
WBGene00000046,18.095,23.395,17.156,17.112,10.065,22,25.085,25.204,11.057,14,28.236,9.057,19,10.128,21,32.942,15.233,21,16.203,27,28.995,15,11.096,10.141
WBGene00000047,16,97,28,10,8,102,24,27,9,28,74,7,28,25,73,21,28,7,29,27,65,72,5,20
WBGene00000048,9,20,27,10,19,26,24,20,20,9,21,14,21,12,20,24,8,17,6,23,20,3,22,6
WBGene00000049,3,12,8,12,13,8,13,12,6,7,7,3,9,6,11,8,5,6,8,13,14,6,10,6
WBGene00000050,20,62,31,25,43,35,35,40,49,23,34,29,38,21,32,40,19,19,19,50,38,36,44,29
WBGene00000051,33,85,74,35,49,66,72,71,59,29,54,35,73,26,74,70,38,41,20,93,83,60,46,26
WBGene00000053,3,10,20,3,2,9,7,8,8,7,5,2,6.098,2,10,6,0,3,3,9,4,6,9,8
WBGene00000054,53,113,80,21,24,97,68,76,34,60,71,42,84,35,81,55,52,25,48,95,72,98,28,44
WBGene00000055,93,120,82,55,81,122,86,66,93,81,104,70,78,73.255,110,67,83.99,68,87,105,103,86,69,72
WBGene00000056,32,24.989,17.001,16.001,31,8,16.999,25,31,27,25.004,25,25.001,27,14,17,21.004,28,14,23.998,13,19.016,23,23
WBGene00000057,66,185,161,84,91,152,177,140,89,64,122,92,189,49,117,158,54,60,75,163,105,120,73,54
WBGene00000058,8,25,32,7,11,13,22,19,18,14,16,14,17,6,12,21,10,13,8,12,20,14,8,10
WBGene00000059,27.217,21.329,24.321,21.429,26.3,33.439,23.376,20.314,33.602,15.52,27.339,25.532,19.315,17.384,22.407,18.178,11.243,26.478,13.183,30.492,19.323,24.484,23.206,19.238
WBGene00000060,10,23,25,15,9,15,15,24,18,18,18,8,16,7,17,21,13,16,7,17,26,22,12,8
WBGene00000061,3,36,25,3,7,17,24,16,11,8,25,7,36,5,34,24,6,11,9,32,32,15,4,6
WBGene00000062,1,12,3,5,1,9,5,5,3,3,8,2,9,2,9,3,4,1,1,2,11,2,4,4
WBGene00000063,28122.157,41821.905,34467.123,25038.565,27098.169,41703.241,39463.367,37310.962,32574.335,26275.99,32674.543,26672.24,40600.66,19726.774,34455.512,35410.35,21803.82,25745.269,22982.349,43371.769,30804.794,35192.582,26199.324,20895.193
WBGene00000064,40594.535,27562.134,28423.031,36513.433,39034.705,29308.359,30925.268,30701.187,45976.58,36716.869,22031.646,36300.582,33356.554,27900.972,25608.903,27107.523,32095.087,35969.685,31905.902,34538.124,21101.933,25125.725,36761.679,29716.385
WBGene00000065,31782.031,48780.178,46671.786,32248.265,34605.241,47674.884,48222.004,46566.748,39990.314,29213.908,37958.054,31301.638,51180.224,21540.212,39917.814,43810.674,25816.677,32276.851,25738.24,57412.315,37076.877,39101.123,31613.097,22180.814
WBGene00000066,30500.364,45677.314,44050.452,27487.462,29075.02,45065.83,42706.444,42707.374,33253.729,28534.745,36854.106,27777.611,46227.111,19618.432,37920.842,41700.119,22611.958,27126.524,24486.856,53689.662,34845.141,36996.186,26727.13,21179.851
WBGene00000067,12226.188,33829.877,10877.728,10601.661,9513.223,31167.296,14001.541,13638.068,12622.664,11341.815,26680.401,8916.296,14554.294,9242.46,26013.369,10172.373,10643.672,8837.671,9916.732,13282.358,25476.399,26387.457,10412.014,9855.461
WBGene00000068,180,395,376,180,199,471,403,393,226,167,369,174,435,143,356,390,137,186,149,493,326,313,195,129
WBGene00000069,22,40,46,13,20,35,35,43,31,24,26,25,34,24,51,31,17,12,20,31,46,32,15,24
WBGene00000070,253,529,339,221,224,444,374,367,306,253,421,226,477,195,453,332,204,253,198,396,408,378,220,180
WBGene00000071,305.863,552.367,288.656,148.237,118,479.509,286.78,278,217.119,260,369.259,138.81,271.097,168,432.914,260,214.429,160.592,223,360,394.664,367.485,150,169.034
WBGene00000072,137,416,176,59,80,375,168,158,81,158,345,75,184,119.001,329,162,126,65,105,175,294,312,70,137
WBGene00000073,673.797,613.629,541.128,670.56,730.462,528.906,609.371,555.949,823.502,607.023,459.339,632.955,619.381,448.449,433.199,473.37,547.166,660.502,564.941,582.639,490.634,427.217,674.832,465.542
WBGene00000074,942,523,970,1258,1293,559,845,853,1516,816,397,1145,958,566,441,884,639,1153,704,1083,360,412,1225,621
WBGene00000075,784,617,474,802,793,520,561,562,944,743,456,702,541,618,452,489,628,740,648,611,483,428,872,645
WBGene00000079,3139.643,2121.798,3490.831,4072.579,4601.288,2370.12,3444.388,3343.836,5270.821,2915.611,1736.051,4125.973,3625.216,2285.44,1891.341,3061.972,2428.991,4078.612,2576.146,4157.247,1599.554,1827.997,4312.868,2458.21
WBGene00000080,3545,2351,2285,2996,3219,2327,2483,2224,3825,3149,1675,2989,2567,2582,2013,2203,2915,2983,2914,2772,1709,1907,2967,2647
WBGene00000081,3977,9384,4918,2774,2871,8815,4985,4952,3377,3533,7247,2562,5381,2750,7276,4832,3139,2685,3165,5982,7155,7276,2708,2896
WBGene00000082,47,221,361,44,56,310,287,310,59,49,156,54,300,45,287,320,40,34,37,432,170,220,49,38
WBGene00000083,1082,1377,1337,760.999,830,1330,1444,1332,939,932,1203,733,1550,745.001,1130,1243,891,699,855,1636,1046.001,1066,755,770
WBGene00000084,319,503,358,282,262,430,394,331,333,276,412,239,405,198,389,302,234,286,194,419,391,379,289,234
WBGene00000085,44,34,28,23,22,40,32,26,26,27,23,7,35,18,29,37,24,15,24,34,39,22,24,11
WBGene00000086,212,310,432,210,263,289,378,389,278,231,242,231,418,141,253,380,151,232,174,474,236,192,199,170
WBGene00000088,476.738,1113.451,592.378,279.26,355.35,895.509,550.006,555.006,368.737,437.867,829.125,348.543,606.758,305.68,781.405,508.407,398.279,327.932,432.321,700.155,809.475,772.195,336.991,331.448
WBGene00000089,107,201,199,112,112,185,192,182,172,99,158,118,197,87,140,178,94,129,89,254,121,117,140,72
WBGene00000090,3918.928,2511.586,3019.084,3918.86,4265,2649.931,3081.81,2987.329,4912.813,3269.843,2018.235,3954.715,3344.375,2978.936,2211.7,2879.173,3252.011,3972.807,3057.893,3682.57,1845.775,2177.927,3993.566,2962.01
WBGene00000092,974,696.999,669,799,814,636,692,718.999,966.001,895.999,545,798.001,811,666.999,530.001,658.999,708.999,761.999,836,795,542,568,773.001,681.001
WBGene00000093,651.716,542.683,540.668,610.664,549.36,542.948,560.927,589.748,664.166,650.62,403.307,506.933,608.854,469.795,451.919,496.494,535,559.797,567.875,614.59,448.599,469.991,548.676,510.875
