sample,fastq_1,fastq_2,strandedness
pqm1-50h-ascr-1,data/reads/pqm-1-50h-ascr_1_S10_R1_001.fastq.gz,,unstranded
pqm1-50h-ascr-2,data/reads/pqm-1-50h-ascr_2_S11_R1_001.fastq.gz,,unstranded
pqm1-50h-ascr-3,data/reads/pqm-1-50h-ascr_3_S12_R1_001.fastq.gz,,unstranded
pqm-1-50h-cnt_1,data/reads/pqm-1-50h-cnt_1_S7_R1_001.fastq.gz,,unstranded
pqm-1-50h-cnt_2,data/reads/pqm-1-50h-cnt_2_S8_R1_001.fastq.gz,,unstranded
pqm-1-50h-cnt_3,data/reads/pqm-1-50h-cnt_3_S9_R1_001.fastq.gz,,unstranded
tph1-58h-ascr-1,data/reads/tph1-ascr_Aft-1_S10_R1_001.fastq.gz,,unstranded
tph1-50h-ascr-2,data/reads/tph1-ascr_Bef-2_S5_R1_001.fastq.gz,,unstranded
tph1-58h-cnt-3,data/reads/tph1-cnt_Aft-3_S9_R1_001.fastq.gz,,unstranded
tph1-58h-ascr-2,data/reads/tph1-ascr_Aft-2_S11_R1_001.fastq.gz,,unstranded
tph1-50h-ascr-3,data/reads/tph1-ascr_Bef-3_S6_R1_001.fastq.gz,,unstranded
tph1-50h-cnt-1,data/reads/tph1-cnt_Bef-1_S1_R1_001.fastq.gz,,unstranded
tph1-58h-ascr-3,data/reads/tph1-ascr_Aft-3_S12_R1_001.fastq.gz,,unstranded
tph1-58h-cnt-1,data/reads/tph1-cnt_Aft-1_S7_R1_001.fastq.gz,,unstranded
tph1-50h-cnt-2,data/reads/tph1-cnt_Bef-2_S2_R1_001.fastq.gz,,unstranded
tph1-50h-ascr-1,data/reads/tph1-ascr_Bef-1_S4_R1_001.fastq.gz,,unstranded
tph1-58h-cnt-2,data/reads/tph1-cnt_Aft-2_S8_R1_001.fastq.gz,,unstranded
tph1-50h-cnt-3,data/reads/tph1-cnt_Bef-3_S3_R1_001.fastq.gz,,unstranded
